FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
904340|Canada de la Madera|Stream|NM|35|Taos|055|360940N|1054627W|36.1611355|-105.7741832|360855N|1054532W|36.1486111|-105.7588889|2246|7369|Trampas|11/13/1980|
904341|Canada de la Miga|Arroyo|NM|35|Torrance|057|344534N|1061354W|34.7595018|-106.2316872|344746N|1061918W|34.7961668|-106.3216882|1976|6483|Milbourn Ranch|11/13/1980|
904342|Canada de la Mora|Stream|NM|35|Rio Arriba|039|360200N|1063027W|36.0333531|-106.5075343|360015N|1062931W|36.0041869|-106.4919784|2795|9170|Cerro del Grant|11/13/1980|01/27/2006
904343|Canada de la Orilla|Stream|NM|35|Rio Arriba|039|360937N|1054901W|36.1603019|-105.816962|360728N|1055019W|36.1244686|-105.8386294|2016|6614|Trampas|11/13/1980|01/27/2006
904344|Canada de la Parida|Stream|NM|35|Rio Arriba|039|360515N|1060027W|36.0875231|-106.007522|360308N|1055724W|36.052246|-105.9566878|1840|6037|San Juan Pueblo|11/13/1980|01/27/2006
904345|Canada de la Perra|Arroyo|NM|35|Torrance|057|344720N|1061250W|34.7889455|-106.2139098|345025N|1061907W|34.8403319|-106.3186336|1970|6463|Milbourn Ranch|11/13/1980|
904346|Canada de la Plaza|Stream|NM|35|Taos|055|360754N|1054129W|36.1316924|-105.6914044|360709N|1054040W|36.1191927|-105.6777933|2498|8195|Penasco|11/13/1980|01/27/2006
904347|Canada de la Presa|Stream|NM|35|Rio Arriba|039|362102N|1064008W|36.3505713|-106.6689256|361706N|1064342W|36.285|-106.7283333|1951|6401|Laguna Peak|11/13/1980|01/27/2006
904348|Canada de la Tableta|Valley|NM|35|Rio Arriba|039|361648N|1065107W|36.2800166|-106.8519846|361523N|1064957W|36.2563889|-106.8325|2170|7119|French Mesa|11/13/1980|01/27/2006
904349|Canada de la Tierra Blanco|Stream|NM|35|Mora|033|355823N|1051810W|35.9730914|-105.3027901|355858N|1051701W|35.9827778|-105.2836111|2183|7162|Mora|11/13/1980|01/27/2006
904350|Canada de la Vaca|Stream|NM|35|Santa Fe|049|352443N|1054634W|35.4119843|-105.7761283|352936N|1054659W|35.4933333|-105.7830556|2023|6637|Bull Canyon|11/13/1980|01/27/2006
904351|Canada de la Canelejas|Stream|NM|35|Rio Arriba|039|361145N|1060322W|36.1958552|-106.0561338|361153N|1060209W|36.1980556|-106.0358333|1816|5958|Lyden|11/13/1980|
904352|Canada de la Corrales|Stream|NM|35|Rio Arriba|039|360623N|1061809W|36.1064092|-106.3025279|360725N|1061946W|36.1236111|-106.3294444|2465|8087|Vallecitos|11/13/1980|
904353|Canada de la Entranas|Stream|NM|35|Rio Arriba|039|361030N|1055818W|36.1750229|-105.9716877|360234N|1054233W|36.042804|-105.7091832|1760|5774|Velarde|11/13/1980|
904354|Canada de la Fuertes|Stream|NM|35|Rio Arriba|039|361940N|1063735W|36.3277939|-106.6264251|361359N|1064122W|36.2330713|-106.689482|1937|6355|Laguna Peak|11/13/1980|12/02/2011
904355|Canada de las Lomitas|Arroyo|NM|35|Sandoval|043|353628N|1071244W|35.6078054|-107.2122672|353313N|1071738W|35.5536399|-107.2939358|1811|5942|Guadalupe|11/13/1980|
904356|Canada de la Marias|Stream|NM|35|Taos|055|361016N|1054719W|36.1711353|-105.788628|360836N|1054500W|36.1433333|-105.75|2168|7113|Trampas|11/13/1980|
904357|Canada de la Ruedas|Stream|NM|35|Rio Arriba|039|360409N|1054933W|36.0691915|-105.8258516|360319N|1054701W|36.0552778|-105.7836111|2311|7582|Truchas|11/13/1980|
904358|Canada los Alamos|Stream|NM|35|Rio Arriba|039|361012N|1060511W|36.1700217|-106.0864121|361212N|1060720W|36.2033333|-106.1222222|1792|5879|Lyden|11/13/1980|
904359|Canada de los Alamos|Stream|NM|35|Rio Arriba|039|360812N|1054634W|36.1366913|-105.7761279|360405N|1054322W|36.0680815|-105.7227942|2216|7270|Trampas|11/13/1980|11/18/2011
904360|Canada de los Alamos|Stream|NM|35|Taos|055|360850N|1054119W|36.1472478|-105.6886265|360450N|1054003W|36.080582|-105.6675157|2409|7903|Penasco|11/13/1980|07/14/2011
